Type_of_Metric,Command,Category,Count_
Actual Staffing,Chief of Police,CIVILIAN,33
Actual Staffing,Chief of Police,UNIFORM,44
Actual Staffing,Communities & Neighbourhoods Command,CIVILIAN,118
Actual Staffing,Communities & Neighbourhoods Command,UNIFORM,1972
Actual Staffing,Corporate Support Command,CIVILIAN,448
Actual Staffing,Corporate Support Command,UNIFORM,39
Actual Staffing,Human Resources Command,CIVILIAN,85
Actual Staffing,Human Resources Command,UNIFORM,183
Actual Staffing,Information Technology Command,CIVILIAN,163
Actual Staffing,Parking Enforcement Unit,CIVILIAN,347
Actual Staffing,Parking Enforcement Unit,UNIFORM,5
Actual Staffing,Priority Response Command,CIVILIAN,990
Actual Staffing,Priority Response Command,UNIFORM,1784
Actual Staffing,Specialized Operations Command,CIVILIAN,232
Actual Staffing,Specialized Operations Command,UNIFORM,920
Actual Staffing,Toronto Police Services Board,CIVILIAN,5
Approved Staffing,Centralized Service Charges,CIVILIAN,-66
Approved Staffing,Centralized Service Charges,UNIFORM,31
Approved Staffing,Chief of Police,CIVILIAN,31
Approved Staffing,Chief of Police,UNIFORM,50
Approved Staffing,Communities & Neighbourhoods Command,CIVILIAN,117
Approved Staffing,Communities & Neighbourhoods Command,UNIFORM,2042
Approved Staffing,Corporate Support Command,CIVILIAN,471
Approved Staffing,Corporate Support Command,UNIFORM,42
Approved Staffing,Human Resources Command,CIVILIAN,127
Approved Staffing,Human Resources Command,UNIFORM,167
Approved Staffing,Information Technology Command,CIVILIAN,172
Approved Staffing,Parking Enforcement Unit,CIVILIAN,386
Approved Staffing,Parking Enforcement Unit,UNIFORM,8
Approved Staffing,Priority Response Command,CIVILIAN,1023
Approved Staffing,Priority Response Command,UNIFORM,1861
Approved Staffing,Specialized Operations Command,CIVILIAN,236
Approved Staffing,Specialized Operations Command,UNIFORM,918
Approved Staffing,Toronto Police Services Board,CIVILIAN,6
Actual Staffing,Centralized Service Charges,CIVILIAN,11
Actual Staffing,Centralized Service Charges,UNIFORM,23
Actual Staffing,Chief of Police,CIVILIAN,36
Actual Staffing,Chief of Police,UNIFORM,31
Actual Staffing,Communities & Neighbourhoods Command,CIVILIAN,126
Actual Staffing,Communities & Neighbourhoods Command,UNIFORM,1870
Actual Staffing,Corporate Support Command,CIVILIAN,440
Actual Staffing,Corporate Support Command,UNIFORM,39
Actual Staffing,Human Resources Command,CIVILIAN,90
Actual Staffing,Human Resources Command,UNIFORM,173
Actual Staffing,Information Technology Command,CIVILIAN,155
Actual Staffing,Parking Enforcement Unit,CIVILIAN,376
Actual Staffing,Parking Enforcement Unit,UNIFORM,5
Actual Staffing,Priority Response Command,CIVILIAN,1030
Actual Staffing,Priority Response Command,UNIFORM,1676
Actual Staffing,Specialized Operations Command,CIVILIAN,219
Actual Staffing,Specialized Operations Command,UNIFORM,911
Actual Staffing,Toronto Police Services Board,CIVILIAN,7
Approved Staffing,Centralized Service Charges,CIVILIAN,245
Approved Staffing,Centralized Service Charges,UNIFORM,24
Approved Staffing,Chief of Police,CIVILIAN,75
Approved Staffing,Chief of Police,UNIFORM,36
Approved Staffing,Communities & Neighbourhoods Command,CIVILIAN,134
Approved Staffing,Communities & Neighbourhoods Command,UNIFORM,1931
Approved Staffing,Corporate Support Command,CIVILIAN,492
Approved Staffing,Corporate Support Command,UNIFORM,36
Approved Staffing,Human Resources Command,CIVILIAN,151
Approved Staffing,Human Resources Command,UNIFORM,167
Approved Staffing,Information Technology Command,CIVILIAN,193
Approved Staffing,Parking Enforcement Unit,CIVILIAN,386
Approved Staffing,Parking Enforcement Unit,UNIFORM,8
Approved Staffing,Priority Response Command,CIVILIAN,1113
