X_id,Year,Type_of_Metric,Command,Category,Count_
98,2017,Approved Staffing,Chief of Police,CIVILIAN,32
99,2017,Approved Staffing,Chief of Police,UNIFORM,35
100,2017,Approved Staffing,Communities & Neighbourhoods Command,CIVILIAN,148
101,2017,Approved Staffing,Communities & Neighbourhoods Command,UNIFORM,2361
102,2017,Approved Staffing,Corporate Support Command,CIVILIAN,537
103,2017,Approved Staffing,Corporate Support Command,UNIFORM,45
104,2017,Approved Staffing,Human Resources Command,CIVILIAN,127
105,2017,Approved Staffing,Human Resources Command,UNIFORM,199
106,2017,Approved Staffing,Information Technology Command,CIVILIAN,188
107,2017,Approved Staffing,Parking Enforcement Unit,CIVILIAN,386
108,2017,Approved Staffing,Parking Enforcement Unit,UNIFORM,8
109,2017,Approved Staffing,Priority Response Command,CIVILIAN,1145
110,2017,Approved Staffing,Priority Response Command,UNIFORM,1975
111,2017,Approved Staffing,Specialized Operations Command,CIVILIAN,247
112,2017,Approved Staffing,Specialized Operations Command,UNIFORM,829
113,2017,Approved Staffing,Toronto Police Services Board,CIVILIAN,6
114,2017,Actual Staffing,Centralized Service Charges,CIVILIAN,10
115,2017,Actual Staffing,Centralized Service Charges,UNIFORM,28
116,2017,Actual Staffing,Chief of Police,CIVILIAN,33
117,2017,Actual Staffing,Chief of Police,UNIFORM,44
118,2017,Actual Staffing,Communities & Neighbourhoods Command,CIVILIAN,118
119,2017,Actual Staffing,Communities & Neighbourhoods Command,UNIFORM,1972
120,2017,Actual Staffing,Corporate Support Command,CIVILIAN,448
121,2017,Actual Staffing,Corporate Support Command,UNIFORM,39
122,2017,Actual Staffing,Human Resources Command,CIVILIAN,85
123,2017,Actual Staffing,Human Resources Command,UNIFORM,183
124,2017,Actual Staffing,Information Technology Command,CIVILIAN,163
125,2017,Actual Staffing,Parking Enforcement Unit,CIVILIAN,347
126,2017,Actual Staffing,Parking Enforcement Unit,UNIFORM,5
127,2017,Actual Staffing,Priority Response Command,CIVILIAN,990
128,2017,Actual Staffing,Priority Response Command,UNIFORM,1784
129,2017,Actual Staffing,Specialized Operations Command,CIVILIAN,232
130,2017,Actual Staffing,Specialized Operations Command,UNIFORM,920
131,2017,Actual Staffing,Toronto Police Services Board,CIVILIAN,5
132,2018,Approved Staffing,Centralized Service Charges,CIVILIAN,-66
133,2018,Approved Staffing,Centralized Service Charges,UNIFORM,31
134,2018,Approved Staffing,Chief of Police,CIVILIAN,31
135,2018,Approved Staffing,Chief of Police,UNIFORM,50
136,2018,Approved Staffing,Communities & Neighbourhoods Command,CIVILIAN,117
137,2018,Approved Staffing,Communities & Neighbourhoods Command,UNIFORM,2042
138,2018,Approved Staffing,Corporate Support Command,CIVILIAN,471
139,2018,Approved Staffing,Corporate Support Command,UNIFORM,42
140,2018,Approved Staffing,Human Resources Command,CIVILIAN,127
141,2018,Approved Staffing,Human Resources Command,UNIFORM,167
142,2018,Approved Staffing,Information Technology Command,CIVILIAN,172
143,2018,Approved Staffing,Parking Enforcement Unit,CIVILIAN,386
144,2018,Approved Staffing,Parking Enforcement Unit,UNIFORM,8
145,2018,Approved Staffing,Priority Response Command,CIVILIAN,1023
146,2018,Approved Staffing,Priority Response Command,UNIFORM,1861
147,2018,Approved Staffing,Specialized Operations Command,CIVILIAN,236
148,2018,Approved Staffing,Specialized Operations Command,UNIFORM,918
149,2018,Approved Staffing,Toronto Police Services Board,CIVILIAN,6
150,2018,Actual Staffing,Centralized Service Charges,CIVILIAN,11
151,2018,Actual Staffing,Centralized Service Charges,UNIFORM,23
152,2018,Actual Staffing,Chief of Police,CIVILIAN,36
153,2018,Actual Staffing,Chief of Police,UNIFORM,31
154,2018,Actual Staffing,Communities & Neighbourhoods Command,CIVILIAN,126
155,2018,Actual Staffing,Communities & Neighbourhoods Command,UNIFORM,1870
156,2018,Actual Staffing,Corporate Support Command,CIVILIAN,440
157,2018,Actual Staffing,Corporate Support Command,UNIFORM,39
158,2018,Actual Staffing,Human Resources Command,CIVILIAN,90
159,2018,Actual Staffing,Human Resources Command,UNIFORM,173
160,2018,Actual Staffing,Information Technology Command,CIVILIAN,155
161,2018,Actual Staffing,Parking Enforcement Unit,CIVILIAN,376
162,2018,Actual Staffing,Parking Enforcement Unit,UNIFORM,5
163,2018,Actual Staffing,Priority Response Command,CIVILIAN,1030
164,2018,Actual Staffing,Priority Response Command,UNIFORM,1676
165,2018,Actual Staffing,Specialized Operations Command,CIVILIAN,219
166,2018,Actual Staffing,Specialized Operations Command,UNIFORM,911
167,2018,Actual Staffing,Toronto Police Services Board,CIVILIAN,7
168,2019,Approved Staffing,Centralized Service Charges,CIVILIAN,245
169,2019,Approved Staffing,Centralized Service Charges,UNIFORM,24
170,2019,Approved Staffing,Chief of Police,CIVILIAN,75
171,2019,Approved Staffing,Chief of Police,UNIFORM,36
172,2019,Approved Staffing,Communities & Neighbourhoods Command,CIVILIAN,134
173,2019,Approved Staffing,Communities & Neighbourhoods Command,UNIFORM,1931
174,2019,Approved Staffing,Corporate Support Command,CIVILIAN,492
175,2019,Approved Staffing,Corporate Support Command,UNIFORM,36
176,2019,Approved Staffing,Human Resources Command,CIVILIAN,151
177,2019,Approved Staffing,Human Resources Command,UNIFORM,167
178,2019,Approved Staffing,Information Technology Command,CIVILIAN,193
179,2019,Approved Staffing,Parking Enforcement Unit,CIVILIAN,386
180,2019,Approved Staffing,Parking Enforcement Unit,UNIFORM,8
181,2019,Approved Staffing,Priority Response Command,CIVILIAN,1113
